"","ID","key_press","trial_type","trial_index","control_level","correct","confidence_level","test_part","staircase","reverse","staircaseA","staircaseB","average_thre"
"2721",5,66,"dot-motion",107,0.0925084,NA,1,"stimulus",1,NA,0,0,0
"2722",46,65,"dot-motion",211,0.0540064,1,4,"stimulus",1,NA,0,0,0
"2723",95,65,"dot-motion",45,0.0125015,1,4,"stimulus",1,NA,0,0,0
"2724",17,66,"dot-motion",113,0.0865078,NA,2,"stimulus",0,1,0,0,0
"2725",90,65,"dot-motion",209,0.0551083,NA,3,"stimulus",0,NA,0,0,0
"2726",5,65,"dot-motion",109,0.0955087,1,3,"stimulus",1,1,0,0,0
"2727",45,66,"dot-motion",106,0.050006,1,4,"stimulus",1,1,0,0,0
"2728",54,65,"dot-motion",171,0.25,1,4,"catch trial",0,NA,0,0,0
"2729",16,65,"dot-motion",191,0.0015036,1,1,"stimulus",0,NA,0,0,0
"2730",49,66,"dot-motion",119,0.25,1,4,"catch trial",0,NA,0,0,0
"2731",46,66,"dot-motion",213,0.25,NA,4,"catch trial",0,NA,0,0,0
"2732",18,65,"dot-motion",133,0.0185039,1,1,"stimulus",1,NA,0,0,0
"2733",3,65,"dot-motion",69,0.0350015,1,4,"stimulus",0,1,0,0,0
"2734",95,65,"dot-motion",47,0.005,1,3,"stimulus",0,NA,0,0,0
"2735",17,65,"dot-motion",115,0.0895081,1,2,"stimulus",0,1,0,0,0
"2736",45,66,"dot-motion",108,0.047506,1,4,"stimulus",1,NA,0,0,0
"2737",90,65,"dot-motion",211,0.0557084,NA,3,"stimulus",0,NA,0,0,0
"2738",46,66,"dot-motion",215,0.0530065,NA,4,"stimulus",1,1,0,0,0
"2739",3,65,"dot-motion",71,0.025,NA,4,"stimulus",1,NA,0,0,0
"2740",54,66,"dot-motion",173,0.0115044,1,4,"stimulus",0,NA,0,0,0
"2741",5,66,"dot-motion",111,0.0945087,1,2,"stimulus",1,NA,0,0,0
"2742",50,65,"dot-motion",64,0.025,NA,1,"stimulus",0,NA,0,0,0
"2743",49,66,"dot-motion",121,0,NA,2,"stimulus",0,1,0,0,0
"2744",16,66,"dot-motion",193,0.0005036,NA,1,"stimulus",0,1,0,0,0
"2745",95,65,"dot-motion",49,0,NA,2,"stimulus",0,1,0,0,0
"2746",18,66,"dot-motion",135,0.0175039,1,2,"stimulus",1,NA,0,0,0
"2747",17,65,"dot-motion",117,0.0885081,1,2,"stimulus",0,NA,0,0,0
"2748",45,66,"dot-motion",110,0.045006,1,1,"stimulus",1,NA,0,0,0
"2749",46,66,"dot-motion",217,0.0536065,1,4,"stimulus",1,1,0,0,0
"2750",46,NA,"score trial",0,0,NA,0,"score trial",0,NA,0.0428656,0.0537263,0.048296
"2751",5,65,"dot-motion",113,0.0935087,1,4,"stimulus",1,NA,0,0,0
"2752",90,65,"dot-motion",213,0.0563084,1,2,"stimulus",0,1,0,0,0
"2753",90,NA,"score trial",0,0,NA,0,"score trial",0,NA,0.054668,0.0578656,0.0562668
"2754",3,66,"dot-motion",73,0.0325015,NA,4,"stimulus",0,1,0,0,0
"2755",49,66,"dot-motion",123,0.00750075,1,4,"stimulus",0,1,0,0,0
"2756",95,65,"dot-motion",51,0.0150015,1,4,"stimulus",0,1,0,0,0
"2757",50,65,"dot-motion",66,0.25,1,3,"catch trial",0,NA,0,0,0
